Year,Section,Topic,Question,Marks,Answers
2015,Section A,Mughal Empire,"(a) According to Source A, what reasons are suggested for the British victory at the battle of Plassey in 1757?",3,"Clive persuaded Mir Jafar to switch sides.
Nawab’s opening gunfire was ineffective.
The Nawab didn’t cover their cannon and muskets when it rained.
English soldiers knew how to prepare for battle in the rain better.
Nawab’s muskets were useless due to the wet powder.
Mir Jafar’s men unwilling to fight against the British.
Jafar had turned traitor/been corrupted by the British.
Nawab had 500 casualties to Clive’s 22.
It was raining.
The Nawab’s troops retreated."
2015,Section A,Kashmir Dispute,(b) What does Source B tell us about the British East India Company in 1825?,5,"The painter has made the British officer the largest figure to demonstrate the importance that they held in India. Similarly the Indians are shown as small people to reflect their lowly status; Local rulers are on horseback behind the British official. They are shown as smaller,
reflecting their lower status to the British; The horses are shown as large animals, graceful in appearance and movement, again
showing superiority and power. This is reinforced by soldiers on horses who were carrying
weapons; The East India Company is shown as being a wealthy organisation as seen in the uniforms
and the decorations on the horses. The Company were able to achieve this wealth through
trading as can be seen by the boat shown in the picture and through the gaining of lands
through conquest and agreements with local rulers. This is shown by the weapons displayed
and the wealthy appearance of the Indians that the British were also able to exploit"
2015,Section A,Kashmir Dispute,(c) Why were the British able to take control of India by 1850?,7,"The British built a huge network of roads and later railways that meant that communication and transport links between cities became better, soldiers could travel much more easily from trouble spot to trouble spot. It also benefitted British trading links which in turn produced more wealth. The battles of Plassey and Buxar also gave the British the vast riches of Bengal and favourable trading rights with the local nawabs. This provided massive new resources which Britain could use to consolidate its control. The British also introduced governorgenerals into the provinces who administered them on British lines and provided yet more control. The British army using its vast local resources and superior weapons and skills were increasingly taking control of more land."
2015,Section A,Kashmir Dispute,(d) Was the work of the Christian missionaries the most important reason why the Indians,10,"Christian missionaries came to India to convert the local population as well as to set up
schools. In these schools the missionaries taught Christianity and expected local religions to
be given up which was resented by Muslims, Hindus and Sikhs alike.
However, there were other reasons why the Indians opposed the British attempts to
westernise them. The replacement of Persian and Sanskrit by English as the official
language in the 1830s deeply upset both the Muslims and Hindus. This had the potential to
threaten their languages. A number of social reforms had been imposed by the British
without consultation or care for local feeling which caused much unrest. Indians had to send
their children to co-educational schools which was hated since it appeared to impose the
British system on the Indians without due regard to their religious and cultural feelings.
Thomas Macaulay believed that European ideas of education were vastly superior to
anything coming out of India and, as a result, the British imposed a system of education that
promoted western values on a people who resented this interference. They were also forced
to abandon purdha which had been an Indian custom for centuries. In 1795 the killing of
baby daughters was declared to be murder, but the British found difficulty in enforcing this as
it was again a tradition practised in many parts of India. Suttee, the ritual burning of Indian
women on the funeral pyres of their husbands was also banned by the British, first in Bengal
and then in the rest of the country. Although the British had been reluctant to get involved in
banning this practice, there was little opposition to the outlawing of it. "
2015,Section B,General History,(a) Who was Tipu Sultan?,4,"Son of Haider Ali of Mysore, both of whom resisted British rule. Tipu received support from
the French and the British were concerned about this. He was known as the Tiger of Mysore
and ruled there from 1782 to 1799. He won important victories against the British in the
Second Anglo-Mysore War, and negotiated the 1784 Treaty of Mangalore with them after his
father died the previous year. His treatment of his conquered non-Muslim subjects and
British prisoners of war is controversial. He remained an enemy of the British, bringing them
into renewed conflict with an attack on Travancore in 1789. In the Third Anglo-Mysore War,
Tipu was forced into a humiliating treaty, losing a number of previously conquered territories,
including Malabar and Mangalore. In the Fourth Anglo-Mysore War, the combined forces of
the British and the Nizam of Hyderabad defeated Tipu and he was killed on 4 May 1799,
while defending his fort of Srirangapatna. "
2015,Section B,Independence and Partition,(b) Why was Urdu chosen as the national language in Pakistan in 1947?,7,"It carries immense importance for all Pakistanis since it has been considered to be the
language of all Muslims for 300 years. It was the language associated with the Pakistani
Movement throughout its struggle with the British and the Hindus. After Independence, it was
felt that the language was the uniting force behind the nation and the government is
committed to using it at all levels in society. "
2015,Section B,General History,(c) Was the attempt to achieve a better understanding with the British the most important century? Explain your answer.,14,"He suggested that the British should try to understand Muslims better. He gave an
explanation of the word ‘Nadarath’ in an attempt to remove the misunderstanding of the
British about the Muslims. He believed that relations with the British could be improved by
improving the understanding of Christianity by Muslims. He tried to overcome this by writing
Tabyin-ul-Kalam, in which he pointed out the similarities between Islam and Christianity. He
wrote a number of books following the War of Independence in which he tried to show the
British that the Muslims were only partly to blame and that there were many who were
supporters of the British government. He was also aware that the British knew little about
Islam and was offended by a book he read in Britain on the life of the Prophet and, as a
result, he wrote his own work correcting the many errors he had read.
However, he contributed many other things. Sir Syed wanted democratic rights in India but
believed that this would only disadvantage Muslims since Hindus were in the majority and
would win all the elections. He therefore felt that the British should treat the Muslims and
Hindus differently since they lived separate and different lives from one another and so were
really like separate nations. Sir Syed was the first person to express this point of view and it
became known as the Two Nation Theory that gave hope to Muslims of a separate
homeland. He attempted to improve the position of Muslims through education. In 1863 he
founded the Scientific Society at Ghazipore. He wanted to make scientific writings available
to Muslims by translating them from English into Urdu. He established a Muslim college
which led to the Muslim-Anglo Oriental College in 1876. This became the University of
Aligarh which became important in Pakistani history as providing an education for many of its
future leaders"
2015,Section B,Khilafat & Non-Cooperation Movement,(a) What was the All India Khilafat Conference?,4,"Held in Delhi in November 1919, led by Ali brothers who hoped to try and persuade the
British to keep their promises about maintaining the Turkish Empire. Maulana Abul Kalam
Azad and Gandhi represented Congress. Gandhi hoped to unite Hindus and Muslims in his
non-violent campaign against the British. Azad warned the Conference that David Lloyd
George intended to punish Turkey for fighting against Britain in the war. The Conference
passed a resolution agreeing to send a delegation to Britain, making sure they were aware of
the strength of Muslim support for the Khalifa. "
2015,Section B,Jinnah's 14 Points,(b) Why did Jinnah produce his 14 Points in 1929?,7,"The 14 Points set out the demands of any future negotiations with either Congress or the
British Government. The 14 Points also formed the basis of the Muslims’ demands for a
separate homeland. It also convinced them that the Hindus and Muslims were two separate
nations."
2015,Section B,General History,(c) How successful were the three Round Table Conferences of 1930-1932? Explain your answer.,14,The federal system for India was approved. Sind was given a separate identity and a government. Congress was attended. Minorities entered into an agreement on their demands. Congress was boycotted. There was a deadlock on the federal system. The minorities sub-committee couldn’t reach a conclusion. Gandhi took a hard line and refused to recognize the problems of the minorities. Muslims took a hard line against Congress to protect their position. The British National government was less keen to reach a compromise in India. Congress was absent again. The gulf between the two sides was too great.
